,Date/Time,Lat,Lon,Base
2109000,7/11/2014 18:51:00,40.69,-73.9922,B02617
2109001,7/11/2014 18:51:00,40.7025,-73.9914,B02598
2109002,7/11/2014 18:51:00,40.7037,-74.0143,B02617
2109003,7/11/2014 18:51:00,40.7197,-73.9874,B02617
2109004,7/11/2014 18:51:00,40.7207,-73.9987,B02598
2109005,7/11/2014 18:51:00,40.7241,-74.0096,B02617
2109006,7/11/2014 18:51:00,40.7271,-73.9859,B02617
2109007,7/11/2014 18:51:00,40.7301,-74.0069,B02764
2109008,7/11/2014 18:51:00,40.7332,-73.9934,B02617
2109009,7/11/2014 18:51:00,40.7345,-73.991,B02617
2109010,7/11/2014 18:51:00,40.7385,-73.9842,B02598
2109011,7/11/2014 18:51:00,40.7397,-73.9764,B02617
2109012,7/11/2014 18:51:00,40.7448,-73.984,B02617
2109013,7/11/2014 18:51:00,40.7461,-74.0005,B02598
2109014,7/11/2014 18:51:00,40.748000000000005,-73.9775,B02598
2109015,7/11/2014 18:51:00,40.7525,-73.9725,B02617
2109016,7/11/2014 18:51:00,40.7537,-73.9778,B02617
2109017,7/11/2014 18:51:00,40.7602,-73.9656,B02598
2109018,7/11/2014 18:51:00,40.7609,-73.9735,B02598
2109019,7/11/2014 18:51:00,40.764,-73.9786,B02598
2109020,7/11/2014 18:51:00,40.7666,-73.9689,B02617
2109021,7/11/2014 18:51:00,40.7729,-73.9785,B02617
2109022,7/11/2014 18:51:00,40.7763,-73.9765,B02617
2109023,7/11/2014 18:51:00,40.7791,-73.9551,B02617
2109024,7/11/2014 18:52:00,40.6342,-74.0332,B02617
2109025,7/11/2014 18:52:00,40.6752,-73.9633,B02617
2109026,7/11/2014 18:52:00,40.7035,-73.9896,B02598
2109027,7/11/2014 18:52:00,40.7093,-73.9453,B02617
2109028,7/11/2014 18:52:00,40.7093,-73.9453,B02617
2109029,7/11/2014 18:52:00,40.7111,-74.0063,B02682
2109030,7/11/2014 18:52:00,40.7173,-74.0052,B02682
2109031,7/11/2014 18:52:00,40.7188,-73.9513,B02617
2109032,7/11/2014 18:52:00,40.722,-74.0029,B02617
2109033,7/11/2014 18:52:00,40.7237,-74.0094,B02598
2109034,7/11/2014 18:52:00,40.7245,-73.9924,B02682
2109035,7/11/2014 18:52:00,40.7273,-73.5273,B02598
2109036,7/11/2014 18:52:00,40.7273,-74.0054,B02598
2109037,7/11/2014 18:52:00,40.735,-74.006,B02598
2109038,7/11/2014 18:52:00,40.7383,-73.9819,B02617
2109039,7/11/2014 18:52:00,40.7383,-73.9819,B02617
2109040,7/11/2014 18:52:00,40.7387,-74.0023,B02617
2109041,7/11/2014 18:52:00,40.7392,-73.9921,B02682
2109042,7/11/2014 18:52:00,40.742,-73.991,B02617
2109043,7/11/2014 18:52:00,40.7442,-74.0067,B02598
2109044,7/11/2014 18:52:00,40.7511,-73.9979,B02617
2109045,7/11/2014 18:52:00,40.7516,-73.9875,B02682
2109046,7/11/2014 18:52:00,40.7593,-73.9722,B02598
2109047,7/11/2014 18:52:00,40.7601,-73.9808,B02512
2109048,7/11/2014 18:52:00,40.7605,-73.9989,B02617
2109049,7/11/2014 18:52:00,40.7613,-73.9919,B02617
2109050,7/11/2014 18:52:00,40.7643,-73.9847,B02617
2109051,7/11/2014 18:52:00,40.7663,-73.9682,B02617
2109052,7/11/2014 18:52:00,40.7868,-74.0461,B02512
2109053,7/11/2014 18:52:00,40.7878,-73.9475,B02617
2109054,7/11/2014 18:52:00,40.7951,-74.2507,B02682
2109055,7/11/2014 18:53:00,40.6872,-73.9549,B02598
2109056,7/11/2014 18:53:00,40.7023,-73.9872,B02598
2109057,7/11/2014 18:53:00,40.7075,-74.0043,B02598
2109058,7/11/2014 18:53:00,40.7229,-74.005,B02598
2109059,7/11/2014 18:53:00,40.7237,-73.9458,B02598
2109060,7/11/2014 18:53:00,40.7242,-73.9788,B02598
2109061,7/11/2014 18:53:00,40.7273,-74.0074,B02598
2109062,7/11/2014 18:53:00,40.7297,-74.0008,B02598
2109063,7/11/2014 18:53:00,40.7331,-73.9958,B02617
2109064,7/11/2014 18:53:00,40.7405,-74.0057,B02598
2109065,7/11/2014 18:53:00,40.7412,-73.9788,B02617
2109066,7/11/2014 18:53:00,40.7428,-73.9958,B02598
2109067,7/11/2014 18:53:00,40.7503,-73.9947,B02617
2109068,7/11/2014 18:53:00,40.7519,-73.985,B02617
2109069,7/11/2014 18:53:00,40.756,-73.9752,B02598
2109070,7/11/2014 18:53:00,40.7566,-73.994,B02598
